Trained,Price,TextBlobPol,VaderPol,DictPol,TecAction,Best,Worst
1,11766,-1,1,0,-1,1,-1
1,12933,-1,0,0,-1,-1,1
-1,11133,-1,0,-1,-1,1,-1
-1,12374,-1,0,-1,-1,-1,1
-1,11890,-1,0,-1,-1,-1,1
-1,10738,-1,0,1,-1,-1,1
1,10579,-1,-1,0,-1,1,-1
0,10805,-1,-1,0,-1,1,-1
1,11985,-1,0,0,-1,-1,1
0,11160,-1,1,1,-1,-1,1
0,10955,-1,0,0,-1,1,-1
0,11232,-1,0,0,-1,1,-1
-1,11477,-1,-1,0,-1,1,-1
0,12313,1,-1,0,-1,1,-1
-1,12587,1,1,-1,-1,-1,1
1,12100,-1,0,0,-1,-1,1
-1,11353,-1,-1,0,-1,1,-1
-1,11804,-1,-1,-1,-1,-1,1
0,11389,-1,1,0,-1,-1,1
0,10187,1,1,0,-1,1,-1
-1,10874,-1,1,0,-1,1,-1
-1,9398,-1,0,-1,-1,1,-1
1,9674,-1,0,0,-1,-1,1
-1,10639,-1,-1,-1,-1,-1,1
-1,10536,1,1,0,-1,1,-1
1,10765,-1,0,0,-1,-1,1
-1,10587,1,1,0,-1,-1,1
-1,10324,-1,-1,0,-1,1,-1
0,9844,-1,-1,0,-1,-1,1
-1,9772,-1,-1,0,-1,1,-1
1,9875,-1,-1,-1,-1,-1,1
-1,9849,1,1,-1,-1,-1,1
0,9474,-1,-1,0,-1,1,-1
1,9530,-1,0,0,-1,-1,1
0,9501,-1,1,0,-1,1,-1
-1,9589,-1,-1,-1,-1,-1,1
1,10085,-1,-1,0,-1,1,-1
1,10407,-1,1,0,-1,1,-1
-1,10530,-1,-1,-1,-1,1,-1
-1,10815,-1,0,0,1,1,-1
0,10980,-1,-1,0,-1,1,-1
1,11788,-1,0,0,-1,-1,1
-1,11466,-1,-1,-1,-1,1,-1
1,11961,1,1,-1,0,1,-1
1,11996,1,1,-1,-1,-1,1
1,11857,-1,-1,0,-1,-1,1
1,11282,-1,1,0,-1,1,-1
-1,11567,-1,-1,0,-1,-1,1
1,11386,-1,-1,0,-1,-1,1
0,10858,-1,0,1,-1,-1,1
-1,10017,-1,0,0,-1,1,-1
1,10302,-1,0,0,-1,1,-1
1,10359,-1,0,0,-1,-1,1
-1,10215,-1,-1,0,-1,1,-1
0,10318,-1,-1,0,-1,1,-1
0,10917,-1,-1,-1,0,-1,1
0,10761,-1,0,0,-1,-1,1
-1,10129,-1,-1,0,-1,-1,1
1,10112,1,-1,0,-1,1,-1
1,10406,-1,0,0,-1,-1,1
1,10144,1,1,0,-1,-1,1
1,10135,-1,0,0,-1,1,-1
-1,10360,1,-1,0,1,-1,1
0,10172,-1,-1,0,1,1,-1
-1,9718,-1,0,0,1,-1,1
1,9485,-1,0,0,-1,1,-1
1,9578,-1,0,0,-1,1,-1
-1,9601,-1,-1,-1,-1,1,-1
0,9770,-1,-1,0,-1,-1,1
-1,10387,-1,-1,0,-1,1,-1
1,10621,1,0,0,-1,-1,1
1,10584,1,1,0,0,-1,1
0,10578,1,-1,0,0,-1,1
1,10317,1,1,0,1,1,-1
1,10487,-1,0,0,1,-1,1
0,10406,-1,-1,0,-1,-1,1
1,10314,-1,0,0,0,-1,1
1,10101,-1,1,0,-1,1,-1
-1,10159,-1,-1,0,-1,1,-1
0,10420,-1,-1,0,-1,-1,1
1,10364,1,1,0,-1,-1,1
1,10361,1,1,0,-1,-1,1
1,10310,-1,0,0,-1,-1,1
0,10266,-1,0,0,-1,-1,1
-1,10190,1,1,0,1,-1,1
0,10158,-1,0,0,-1,1,-1
1,10276,-1,0,0,-1,-1,1
1,10173,-1,0,0,-1,1,-1
0,9979,1,1,0,1,-1,1
-1,10033,-1,0,0,-1,1,-1
0,9683,-1,-1,0,-1,-1,1
1,8554,-1,0,0,-1,-1,1
-1,8432,-1,-1,0,0,-1,1
1,8056,-1,0,0,-1,1,-1
0,8194,-1,-1,0,-1,1,-1
-1,8225,-1,0,0,-1,-1,1
-1,8057,-1,-1,-1,0,1,-1
-1,8308,-1,0,0,0,1,-1
0,8323,-1,-1,0,-1,1,-1
1,8382,-1,0,0,-1,-1,1
0,8236,-1,-1,0,-1,-1,1
-1,8155,-1,-1,0,1,-1,1
-1,8148,-1,0,0,-1,-1,1
0,7870,-1,0,0,1,1,-1
1,8212,-1,0,1,-1,-1,1
1,8190,-1,0,0,0,1,-1
-1,8588,-1,-1,-1,-1,-1,1
-1,8587,-1,0,-1,-1,-1,1
1,8270,-1,1,0,1,1,-1
0,8308,-1,0,0,1,-1,1
-1,8284,-1,1,0,1,1,-1
-1,8354,-1,0,0,-1,-1,1
-1,8162,1,1,0,-1,-1,1
-1,8003,-1,0,0,1,1,-1
1,8077,-1,1,0,-1,-1,1
1,7954,1,0,0,-1,1,-1
0,7960,-1,0,0,0,1,-1
1,8231,-1,0,1,1,-1,1
-1,8223,-1,-1,-1,-1,-1,1
-1,8027,-1,0,0,1,-1,1
1,7470,-1,1,0,0,-1,1
-1,7432,-1,-1,0,-1,1,-1
1,8667,1,0,0,-1,1,-1
1,9260,-1,1,0,1,1,-1
1,9552,-1,0,0,1,-1,1
-1,9219,-1,-1,0,-1,1,-1
1,9433,1,1,0,1,-1,1
1,9165,-1,0,0,1,-1,1
1,9148,-1,0,0,1,1,-1
1,9253,-1,0,0,-1,1,-1
0,9301,-1,0,0,-1,-1,1
0,9206,-1,0,0,1,1,-1
-1,9418,-1,0,0,1,-1,1
-1,9310,-1,1,0,-1,1,-1
1,9343,-1,1,0,-1,-1,1
1,9204,-1,0,0,-1,-1,1
0,8766,-1,0,0,-1,1,-1
0,8809,1,1,0,-1,1,-1
0,9037,-1,0,0,-1,-1,1
1,8718,-1,0,0,-1,1,-1
1,8802,-1,0,0,-1,-1,1
-1,8762,-1,-1,0,-1,-1,1
1,8632,1,1,0,0,-1,1
-1,8458,-1,0,-1,-1,1,-1
-1,8483,1,0,0,-1,1,-1
0,8504,-1,-1,0,-1,-1,1
1,8176,-1,0,0,1,-1,1
-1,8121,-1,-1,-1,1,-1,1
1,8082,-1,0,0,1,-1,1
-1,7617,-1,-1,-1,1,-1,1
-1,7286,-1,-1,0,-1,1,-1
0,7324,-1,0,0,0,-1,1
0,6907,-1,0,0,1,1,-1
-1,7130,-1,1,0,1,1,-1
-1,7164,1,-1,-1,1,1,-1
1,7524,-1,0,0,-1,-1,1
1,7431,-1,-1,-1,-1,1,-1
0,7757,-1,-1,0,-1,-1,1
-1,7558,-1,1,0,1,-1,1
1,7403,-1,0,0,1,-1,1
1,7310,-1,0,0,1,-1,1
-1,7297,-1,-1,0,1,-1,1
1,7193,-1,0,0,-1,1,-1
1,7396,-1,0,0,1,1,-1
1,7547,-1,0,0,-1,-1,1
1,7505,-1,-1,0,-1,1,-1
0,7522,-1,0,0,0,-1,1
1,7337,-1,0,0,1,-1,1
1,7221,-1,0,0,-1,-1,1
-1,7202,1,0,0,0,-1,1
-1,7189,-1,-1,0,-1,1,-1
-1,7252,-1,-1,-1,-1,-1,1
0,7068,-1,-1,0,0,1,-1
-1,7111,-1,1,-1,1,-1,1
0,6880,-1,0,0,-1,-1,1
0,6612,-1,0,0,1,1,-1
-1,7284,-1,0,0,1,-1,1
1,7151,-1,0,0,1,1,-1
1,7190,-1,0,0,-1,-1,1
1,7143,-1,0,0,1,1,-1
1,7514,-1,0,0,-1,-1,1
0,7322,-1,-1,-1,0,-1,1
1,7251,1,1,0,-1,-1,1
0,7193,-1,0,0,-1,1,-1
-1,7194,-1,-1,0,1,1,-1
1,7244,-1,1,0,-1,1,-1
0,7301,-1,1,0,1,1,-1
0,7385,-1,0,0,1,-1,1
-1,7220,-1,-1,0,1,-1,1
0,7168,1,1,0,-1,1,-1
0,7176,-1,0,0,-1,-1,1
-1,6944,-1,-1,0,-1,1,-1
0,7326,-1,0,0,1,1,-1
-1,7348,-1,-1,0,1,1,-1
-1,7352,1,0,0,1,1,-1
0,7759,-1,-1,0,1,1,-1
-1,8165,-1,-1,0,1,-1,1
1,8043,-1,0,0,0,-1,1
0,7818,-1,0,0,1,1,-1
1,8185,-1,0,0,1,-1,1
0,8021,-1,0,0,0,1,-1
0,8174,-1,1,0,1,-1,1
1,8105,-1,0,0,1,1,-1
1,8842,-1,0,0,1,-1,1
1,8814,-1,0,0,1,-1,1
-1,8722,-1,0,0,-1,1,-1
1,8900,1,1,0,1,1,-1
1,8911,-1,0,0,1,-1,1
1,8703,-1,-1,1,1,-1,1
-1,8626,-1,-1,-1,1,1,-1
1,8722,1,0,0,0,-1,1
1,8659,-1,0,0,1,-1,1
-1,8388,1,0,0,1,1,-1
-1,8428,-1,-1,0,1,-1,1
0,8327,1,1,0,1,1,-1
0,8588,-1,-1,0,1,1,-1
1,8896,1,1,0,1,1,-1
-1,9386,-1,-1,0,1,-1,1
-1,9280,1,-1,0,1,1,-1
0,9502,-1,0,0,-1,-1,1
1,9334,-1,0,0,0,1,-1
0,9378,-1,-1,0,1,-1,1
1,9315,-1,0,0,1,-1,1
-1,9285,1,0,0,1,-1,1
1,9162,-1,0,0,1,1,-1
0,9615,-1,0,0,1,1,-1
1,9756,-1,0,0,-1,1,-1
0,9808,-1,-1,0,1,1,-1
0,9907,-1,-1,0,1,-1,1
0,10162,-1,-1,-1,1,1,-1
1,9855,-1,0,-1,1,-1,1
-1,10275,-1,0,0,-1,1,-1
1,10354,-1,0,0,1,-1,1
0,10242,-1,0,0,-1,1,-1
-1,10369,-1,0,0,1,1,-1
0,9904,1,-1,0,1,1,-1
1,9938,-1,0,1,1,-1,1
0,9704,-1,-1,0,1,-1,1
1,10181,-1,0,1,1,1,-1
1,9605,-1,1,0,1,1,-1
1,9607,-1,0,0,1,1,-1
1,9697,-1,0,1,1,-1,1
1,9670,-1,-1,0,1,1,-1
1,9989,1,0,1,-1,-1,1
-1,9664,-1,-1,0,1,-1,1
1,9309,-1,1,0,1,-1,1
-1,8786,-1,0,0,-1,1,-1
1,8805,-1,0,0,1,-1,1
-1,8712,-1,-1,-1,-1,-1,1
1,8531,-1,0,0,0,1,-1
0,8534,-1,0,0,1,1,-1
1,8913,-1,1,0,1,-1,1
1,8754,-1,0,1,1,1,-1
1,8759,-1,0,0,1,1,-1
1,9067,1,1,0,1,1,-1
1,9156,-1,0,0,1,-1,1
-1,8899,-1,-1,0,-1,-1,1
-1,8039,-1,0,0,-1,-1,1
-1,7932,-1,-1,-1,-1,-1,1
-1,7885,-1,-1,0,-1,1,-1
-1,7937,-1,-1,-1,1,-1,1
0,4830,-1,1,0,-1,1,-1
-1,5609,-1,-1,0,-1,-1,1
0,5166,1,1,0,-1,1,-1
-1,5348,-1,0,0,-1,-1,1
1,5026,-1,-1,0,1,1,-1
1,5358,-1,0,0,-1,1,-1
1,5410,-1,0,0,1,1,-1
1,6195,-1,0,0,-1,1,-1
-1,6226,-1,0,0,-1,-1,1
0,6190,-1,0,0,-1,-1,1
0,5823,-1,0,0,-1,1,-1
1,6502,-1,0,-1,-1,1,-1
1,6768,1,1,0,-1,-1,1
