Timestamp,Price,Trade Volume,Transactions Volume,Hash Rate,Sentiment 
2019-06-26,11766.4,188227336.128,399624,57826747.811136700,
2019-06-27,12932.55,521683547.94,361050,57195336.55205250,
2019-06-28,11132.85,423175771.1325,407094,57552683.32654220,
2019-06-29,12374.35,251088678.311,356682,59739282.95366380,
2019-06-30,11890.38,184877335.6224,330731,62124770.89416700,
2019-07-01,10737.73,172764921.5896,336862,61165896.3321803,
2019-07-02,10578.72,171482109.072,373409,59910359.24671200,
2019-07-03,10805.4,240430090.968,397554,61131189.48583870,
2019-07-04,11984.76,273546634.0104,370704,62141158.69857860,
2019-07-05,11160.49,130466909.3343,378453,63617010.31623940,
2019-07-06,10955.16,124193828.6496,348674,65082061.0409712,
2019-07-07,11232.04,85554897.9616,313273,65307453.46016070,
2019-07-08,11477.01,67612787.4615,378966,65363801.564958100,
2019-07-09,12313.08,277905476.8152,365588,67335985.23286630,
2019-07-10,12586.78,364111378.7824,315664,67824437.59753050,
2019-07-11,12099.9,507237487.92,325776,66436142.99143580,
2019-07-12,11352.87,400745298.7161,360899,65329588.909327900,
2019-07-13,11803.97,223317773.9139,304545,65236285.6663823,
2019-07-14,11389.1,237143042.963,303287,64282328.423973400,
2019-07-15,10186.96,163504273.436,349111,64994549.13232240,
2019-07-16,10873.5,334140371.565,363337,64362436.053442700,
2019-07-17,9397.72,413796084.0888,324892,65398734.029139900,
2019-07-18,9674.28,350207291.3724,315745,65656209.35996330,
2019-07-19,10638.56,400333480.9952,299891,65141258.69831660,
2019-07-20,10535.75,266367992.225,323002,62180292.39384760,
2019-07-21,10764.9,231375270.501,283934,64497570.37125810,
2019-07-22,10587.41,149533508.4911,319399,64755045.70208150,
2019-07-23,10323.62,207597158.399,320352,65527471.69455160,
2019-07-24,9844.3,198778566.675,295589,64272984.394006200,
2019-07-25,9772.17,207985687.0299,336536,64609474.122063100,
2019-07-26,9875.17,132194259.4601,319612,66422512.06746270,
2019-07-27,9848.65,122793165.173,283892,69452834.29261260,
2019-07-28,9473.99,196200932.7257,272974,67789239.82918890,
2019-07-29,9530,93425734.9,333619,69400228.24262600,
2019-07-30,9501.33,110257993.9584,328375,69983819.38224610,
2019-07-31,9589.13,115667921.712,361337,69900133.59643510,
2019-08-01,10084.7,171671948.947,335943,71948489.15970050,
2019-08-02,10407.17,173753010.8067,349556,71436400.26888420,
2019-08-03,10529.55,194052551.7015,327588,71628433.6029403,
2019-08-04,10814.57,142750701.8145,298805,72972666.94133330,
2019-08-05,10980.23,165486450.2013,339136,72460578.05051690,
2019-08-06,11787.99,360876818.5806,368348,71750336.91595870,
2019-08-07,11465.67,385189642.2768,370909,74077368.96597400,
2019-08-08,11960.82,364388175.423,336181,73980793.8246928,
2019-08-09,11996.41,211151931.4766,341125,74960524.08975090,
2019-08-10,11856.64,180122399.3216,304138,74566507.44960830,
2019-08-11,11282.22,185394290.3946,273280,74200088.84510120,
2019-08-12,11566.84,104661395.056,297446,74359558.14922810,
2019-08-13,11386.26,84492311.643,370747,73747045.07134310,
2019-08-14,10858.12,193935252.602,359997,73463402.59029950,
2019-08-15,10016.96,280655886.4672,355644,73392491.97003860,
2019-08-16,10302.17,339458149.8472,323625,74456151.27395220,
2019-08-17,10359.44,242929696.7552,288256,74456151.27395220,
2019-08-18,10214.52,91003712.31,276365,72825207.00795130,
2019-08-19,10317.6,77572050.192,330473,70938762.0150292,
2019-08-20,10917.26,171807868.2802,333304,73295435.9189537,
2019-08-21,10760.56,122315070.3088,308808,73227077.85694620,
2019-08-22,10129.4,236246172.908,322453,72283871.86080380,
2019-08-23,10111.98,141841653.5382,340220,71347701.30319200,
2019-08-24,10405.81,122936632.6763,304481,71988449.44379350,
2019-08-25,10143.8,117754910.928,288934,74482723.32512150,
2019-08-26,10135.06,102865892.8206,318219,76729088.15301370,
2019-08-27,10360.28,189624308.4428,325984,74848827.7458711,
2019-08-28,10171.95,102638637.402,341200,73547109.00246460,
2019-08-29,9717.82,203978693.8294,346734,74631874.62197000,
2019-08-30,9484.55,157535719.826,349200,76367499.61317860,
2019-08-31,9577.99,112305189.2666,342195,76873723.56894780,
2019-09-01,9600.9,40437358.647,285468,77307629.81674990,
2019-09-02,9769.79,45179221.4802,327248,76949688.48478610,
2019-09-03,10386.64,153032806.8368,370631,78440212.48352500,
2019-09-04,10621.29,228788746.9482,324741,81222826.59520010,
2019-09-05,10584.16,196753395.5872,352410,80706441.94499880,
2019-09-06,10577.8,90967493.33,365531,81396021.79746330,
2019-09-07,10317.47,210268387.8048,314429,81911711.33116190,
2019-09-08,10487.21,65192692.244,288507,81381518.7786572,
2019-09-09,10406.31,63124156.1445,316852,84070180.80035760,
2019-09-10,10313.66,133582936.8664,339858,83840689.86095710,
2019-09-11,10101.03,109189912.0734,338276,85217635.49735970,
2019-09-12,10159.32,122176795.0656,335868,88889490.52776660,
2019-09-13,10420.16,114864653.9296,308856,88354011.66916560,
2019-09-14,10363.9,95214496.607,299894,87940628.05525530,
2019-09-15,10361.33,55063941.3121,274146,89554384.74609980,
2019-09-16,10310.43,40801052.2218,347341,88427197.63210220,
2019-09-17,10265.63,107174306.4193,343778,91022467.59238550,
2019-09-18,10190.36,91392243.66,363185,89597236.24816690,
2019-09-19,10157.59,90728914.3667,346110,90214468.3326224,
2019-09-20,10275.88,157389488.432,340929,90625164.50360730,
2019-09-21,10173.11,89963558.4697,336013,91702566.29484170,
2019-09-22,9979.49,69869004.1574,318713,92631413.6514193,
2019-09-23,10033.05,59501805.669,288149,94235786.35823510,
2019-09-24,9683.38,120001577.1514,353263,90098193.58802590,
2019-09-25,8553.61,491431838.3715,347747,90858159.60704390,
2019-09-26,8432.23,269030045.1831,355775,89338227.56900780,
2019-09-27,8055.64,286339496.0408,303903,91434682.17080030,
2019-09-28,8193.9,167290267.716,314433,90645114.94483180,
2019-09-29,8225,99366389.5,285542,91035500.50166680,
2019-09-30,8056.74,92992826.6976,311396,89341776.99429790,
2019-10-01,8307.74,173526590.0116,337244,91495287.63803320,
2019-10-02,8322.92,170270297.36,326557,91195824.21270090,
2019-10-03,8382.03,91246610.9394,326514,91433868.6440188,
2019-10-04,8236.17,116784278.3448,337222,90160370.38620840,
2019-10-05,8155.48,92819801.4144,326683,91519571.94981960,
2019-10-06,8147.69,56545050.0769,277613,91428958.51224540,
2019-10-07,7869.74,100404346.4472,328803,92606933.20070840,
2019-10-08,8212.02,144876046.239,336354,94872269.14006040,
2019-10-09,8190,68942273.4,311049,96593924.45396790,
2019-10-10,8587.92,174962381.1936,345048,95687790.07822710,
2019-10-11,8586.9,113137559.64,345425,97179223.93948360,
2019-10-12,8269.73,138474726.8121,301693,98269788.05675260,
2019-10-13,8308.01,30579541.6473,279487,96238944.05855840,
2019-10-14,8283.76,65962338.316,304466,95855009.81241500,
2019-10-15,8353.54,61644447.2176,339698,94280759.19669510,
2019-10-16,8162.16,86738049.996,338473,93734992.14572490,
2019-10-17,8002.51,117969721.3909,334105,94440182.24777240,
2019-10-18,8076.78,79993882.9404,339390,93485053.29452870,
2019-10-19,7954.15,94710382.216,304736,93854559.43403290,
2019-10-20,7960.04,53229503.8836,289796,94685948.24791700,
2019-10-21,8231.06,90340986.7572,351791,95055454.38742110,
2019-10-22,8222.52,78014940.8592,341464,97272491.22444560,
2019-10-23,8026.76,89353651.5172,349320,98750515.78246190,
2019-10-24,7469.56,221341213.8308,303843,101132725.05483400,
2019-10-25,7431.88,75975960.6024,328598,100207780.94612300,
2019-10-26,8666.79,333681035.1369,305722,98845219.46318830,
2019-10-27,9259.8,657396445.266,256253,99339894.79783740,
2019-10-28,9551.54,290708092.5242,309611,97034324.12029600,
2019-10-29,9218.76,233830897.3968,307953,95375220.792608,
2019-10-30,9433.35,169991136.6705,314163,92695122.52125240,
2019-10-31,9164.62,145730105.1756,293779,90131834.47920880,
2019-11-01,9147.98,160663136.8662,316187,90034604.88430130,
2019-11-02,9252.99,107433320.8734,284443,89256768.1250417,
2019-11-03,9301.18,53740264.7922,294367,88673390.55559700,
2019-11-03,9206.16,47020646.3232,310979,90909671.2384684,
2019-11-04,9418.05,103857828.9165,332839,90715212.04865350,
2019-11-05,9310.19,97692940.8928,314698,91784737.59263550,
2019-11-06,9343.34,78710164.828,324487,91590278.40282060,
2019-11-07,9204.24,73169474.0496,311441,91861270.49919160,
2019-11-08,8766.04,159478900.1724,306163,90783752.60638500,
2019-11-09,8809.41,40216982.8143,299712,90762607.51459400,
2019-11-10,9037.12,58075876.8544,326707,92339819.41656030,
2019-11-11,8717.81,99417730.8838,301382,93145448.40611650,
2019-11-12,8801.52,84092098.4904,318945,91339031.07613800,
2019-11-13,8762.42,53278229.9502,350023,90699368.88504880,
2019-11-14,8632.32,62094349.5168,325145,92859958.3564599,
2019-11-15,8457.69,102346506.69,283468,95569879.32016980,
2019-11-16,8482.7,27218439.49,264370,95931202.11533110,
2019-11-17,8503.93,42762607.2801,304671,94847233.72984720,
2019-11-18,8175.99,98039358.9687,327630,93853596.04315360,
2019-11-19,8120.8,80797818.392,321086,94937564.42863750,
2019-11-20,8081.81,62317220.548,323954,95569879.32016990,
2019-11-21,7617.07,152565570.3701,310539,92753027.64806040,
2019-11-22,7286.35,283120965.8225,306424,90641806.33248480,
2019-11-23,7324.03,74562140.9344,267368,93211181.34439720,
2019-11-24,6907.4,88831996.034,279470,91369153.81570040,
2019-11-25,7130.25,250687896.39,321310,90238982.02037300,
2019-11-26,7163.63,108471398.9148,317597,88200108.30866560,
2019-11-27,7523.83,220499982.9504,309623,88179081.2317132,
2019-11-28,7431,99775070.97,311290,90747073.1583127,
2019-11-29,7757.47,117995230.1591,277458,91115589.19144290,
2019-11-30,7557.72,78337203.7668,274621,86785525.80216300,
2019-12-01,7402.69,88571039.0699,314730,87522557.86842350,
2019-12-02,7309.59,71586469.665,336512,89365138.03407450,
2019-12-03,7296.77,50091304.5022,337284,92681782.33224620,
2019-12-04,7192.85,142535673.455,311468,95261394.56415760,
2019-12-05,7395.97,85470713.7483,315386,93585274.42810570,
2019-12-06,7547.19,77922849.9525,285284,94315177.49841550,
2019-12-07,7504.83,34352533.7937,278853,96880815.35477400,
2019-12-08,7522.39,32114286.4924,313629,97608664.81120310,
2019-12-09,7337.42,108414489.4552,320064,97783740.2179369,
2019-12-10,7220.76,66161513.2368,291248,96761138.51699760,
2019-12-11,7202.31,53833378.0026,311795,93446264.21635810,
2019-12-12,7189.16,75073234.6496,322888,92267470.55522300,
2019-12-13,7251.87,52683167.6199,293496,92907581.8474793,
2019-12-14,7067.74,39393109.051,263441,92541803.96619000,
2019-12-15,7111.14,35264356.5942,327085,90347136.67845430,
2019-12-16,6879.54,91191811.2654,319254,91170136.91135520,
2019-12-17,6612.12,106173720.1728,314249,90530025.61909890,
2019-12-18,7284.29,208624105.2012,319555,90712914.55974350,
2019-12-19,7150.86,92465911.4364,332657,92925415.7375964,
2019-12-20,7190.17,55147309.6694,311118,93370681.81483610,
2019-12-21,7143.2,25368503.344,281070,95746472.56319730,
2019-12-22,7514.41,72767893.2698,304845,99947585.9399815,
2019-12-23,7322.08,121983509.7344,290436,98740227.53509030,
2019-12-24,7250.69,76336714.458,244666,97340808.47463700,
2019-12-25,7192.72,39255636.0168,296063,96857362.7365599,
2019-12-26,7194.4,59760787.208,322204,97839066.68251050,
2019-12-27,7243.93,71840951.382,298287,96827572.572071,
2019-12-28,7301.07,36039614.7447,279925,94344814.30099220,
2019-12-29,7385.36,46435451,324497,93057458.16043290,
2019-12-30,7219.6,61748083.664,293447,95172400.3913518,
2019-12-31,7168.31,47782090.6994,251735,97011480.59215090,
2020-01-01,7175.68,28600968.8576,295567,101344004.24026000,
2020-01-02,6944.33,68282971.9003,316517,99804501.46535620,
2020-01-03,7326.35,136870284.592,287215,103031751.9698380,
2020-01-04,7347.89,50181826.9238,287779,105793194.82492800,
2020-01-05,7351.57,48177558.2909,299146,107512955.57361700,
2020-01-06,7759.24,114010548.1248,344079,105477457.15335800,
2020-01-07,8165.47,210649283.9079,318019,109390648.92246700,
2020-01-08,8042.65,224003807.3735,322057,107202820.5002440,
2020-01-09,7817.92,108323770.4736,330734,108770686.24796300,
2020-01-10,8184.66,153599795.4414,309070,106810854.06331500,
2020-01-11,8021.49,75103205.4975,283136,106320896.01715300,
2020-01-12,8173.97,39375157.8458,291597,105144996.70636400,
2020-01-13,8105.24,68769719.304,346953,105928929.5802230,
2020-01-14,8842.42,322001233.9342,332658,102912016.52961300,
2020-01-15,8813.89,162415225.6691,325947,104842225.07092400,
2020-01-16,8722.03,113463579.9655,323992,106142030.5758590,
2020-01-17,8900.34,172392198.5178,287237,108225768.95465300,
2020-01-18,8910.85,73102474.796,283960,106104409.8345750,
2020-01-19,8703.36,171406582.848,313661,107047760.00503200,
2020-01-20,8626.47,78615695.3157,315210,108984910.82487500,
2020-01-21,8722.26,80118406.4526,328586,110810185.47842300,
2020-01-22,8658.94,62159413.0416,329918,111334854.91724100,
2020-01-23,8388.11,140040083.6177,313887,111334854.91724100,
2020-01-24,8428.17,103625698.6572,285584,110600317.70289500,
2020-01-25,8327.36,49103693.8912,261247,113958202.11133200,
2020-01-26,8588.42,90541442.5134,279240,113223664.89698700,
2020-01-27,8895.78,157722446.2734,340052,110810185.47842300,
2020-01-28,9385.69,187574422.5035,340562,110086945.93868300,
2020-01-29,9279.81,132156743.7492,332558,111290378.26366600,
2020-01-30,9502.37,175049334.3105,334434,111739680.95495500,
2020-01-31,9333.77,106765634.8728,303724,111605536.94938100,
2020-02-01,9378.09,36660829.428,290879,110981010.23884800,
2020-02-02,9314.56,66403963.968,331012,111681439.23054700,
2020-02-03,9284.51,108746958.8123,309190,114400102.6139400,
2020-02-04,9162.14,90649388.5674,368604,113566280.34913400,
2020-02-05,9614.9,163509451.016,315370,113456448.3565330,
2020-02-06,9755.66,152115909.0028,334938,111149976.51191800,
2020-02-07,9807.54,87939405.4854,318363,110600816.54891400,
2020-02-08,9907.12,75572303.9296,317070,109282832.6377060,
2020-02-09,10162.41,107419112.6784,298104,110381152.56371300,
2020-02-10,9854.79,155424327.7455,365583,107525520.7560950,
2020-02-11,10275.38,190105216.3952,344615,109340676.42941200,
2020-02-12,10354.3,161983394.001,340081,107554857.49007300,
2020-02-13,10242.43,198094127.1122,326078,108294601.66974200,
2020-02-14,10368.53,122708338.3057,322721,107932589.65855000,
2020-02-15,9904.17,113915188.2558,292236,108343410.57122600,
2020-02-16,9937.67,85454123.7067,341491,107216583.58749100,
2020-02-17,9703.93,119040244.1746,331050,111150618.92552400,
2020-02-18,10180.65,138390971.1945,334805,111398345.74036500,
2020-02-19,9604.72,186474102.0448,316626,111287941.03695600,
2020-02-20,9606.86,128769390.754,338484,109631870.48581100,
2020-02-21,9696.58,79370095.0346,304597,111729559.85059400,
2020-02-22,9669.63,34324865.7888,285579,112391988.07105300,
2020-02-23,9989.39,64282324.0134,328890,112391988.07105300,
2020-02-24,9663.75,116289798.6375,334593,110625512.81649800,
2020-02-25,9309.15,114160526.829,329967,109924843.8400680,
2020-02-26,8785.52,206929921.0304,338781,109315034.29177200,
2020-02-27,8804.72,147977054.9632,368590,111571073.16195500,
2020-02-28,8712.35,123840827.84,307527,111945558.20399800,
2020-02-29,8531.42,42866205.1042,309849,110892855.15019800,
2020-03-01,8534.17,70749037.3753,342821,114681812.94945900,
2020-03-02,8912.82,111268001.3928,342324,115501740.88073800,
2020-03-03,8754.34,85149525.727,358745,116468614.68224500,
2020-03-04,8758.9,70042032.863,349529,119877988.6719990,
2020-03-05,9067.39,122314466.7311,338383,121637665.56993600,
2020-03-06,9155.89,83522225.9936,313312,121307726.15157300,
2020-03-07,8898.63,59230883.0334,302694,123287362.66175300,
2020-03-09,8039.38,149933311.4868,348211,121197746.34545200,
2020-03-10,7931.94,223121982.1464,329698,121936055.96162600,
2020-03-11,7885.46,155835851.2678,287492,120625751.53822800,
2020-03-12,7936.65,130840913.439,349978,116247579.24678100,
2020-03-13,4830.21,574694714.8404,276798,116070927.61330400,
2020-03-14,5609.03,684475988.6524,279828,113717813.26408900,
2020-03-15,5166.26,158994389.6178,223230,111497389.43702000,
2020-03-16,5348.44,201009885.676,270399,108109035.40066300,
2020-03-17,5026.35,379747427.5455,278326,104972190.00322100,
2020-03-18,5357.61,222784692.9885,231254,103914239.60005300,
2020-03-19,5410.23,246280973.4105,265689,101680788.74892000,
2020-03-20,6195.2,343510892.032,284594,96508586.77787720,
2020-03-21,6226.44,382708757.244,245896,94627786.06113410,
2020-03-22,6189.85,161732857.492,209154,94157585.88194840,
2020-03-23,5822.62,155141963.114,259816,95097986.24031990,
2020-03-24,6502.16,284307011.0216,278131,94275135.92674490,
2020-03-25,6768.49,284016940.7236,218176,95333086.32991290,
2020-03-26,6698.46,226038996.8232,292828,94392685.97154130,
2020-03-27,6763.75,97401178.9625,276546,97885234.2295388,
2020-03-28,6369.09,148443297.8847,240627,100386175.7558380,
2020-03-29,6260.95,142726744.923,232820,99147879.97675760,
2020-03-30,5885.41,103365161.5595,276828,99137723.37003460,
2020-03-31,6405.29,186301830.9298,290227,100495620.10857100,
2020-04-01,6428.28,89947515.0516,281855,100688107.93123900,
