date,action,Price,out
2019-06-26,1,11766,11766
2019-06-27,-1,12933,12933
2019-06-28,-1,11133,12933
2019-06-29,-1,12374,12933
2019-06-30,-1,11890,12933
2019-07-01,-1,10738,12933
2019-07-02,-1,10579,12933
2019-07-03,-1,10805,12933
2019-07-04,-1,11985,12933
2019-07-05,-1,11160,12933
2019-07-06,-1,10955,12933
2019-07-07,-1,11232,12933
2019-07-08,-1,11477,12933
2019-07-09,-1,12313,12933
2019-07-10,-1,12587,12933
2019-07-11,-1,12100,12933
2019-07-12,-1,11353,12933
2019-07-13,-1,11804,12933
2019-07-14,-1,11389,12933
2019-07-15,-1,10187,12933
2019-07-16,-1,10874,12933
2019-07-17,-1,9398,12933
2019-07-18,-1,9674,12933
2019-07-19,-1,10639,12933
2019-07-20,-1,10536,12933
2019-07-21,-1,10765,12933
2019-07-22,-1,10587,12933
2019-07-23,-1,10324,12933
2019-07-24,-1,9844,12933
2019-07-25,-1,9772,12933
2019-07-26,-1,9875,12933
2019-07-27,-1,9849,12933
2019-07-28,-1,9474,12933
2019-07-29,-1,9530,12933
2019-07-30,1,9501,12933.0
2019-07-31,-1,9589,13052.787811809283
2019-08-01,1,10085,13052.787811809283
2019-08-02,1,10407,13469.54514204256
2019-08-03,0,10530,13628.741265081979
2019-08-04,-1,10815,13997.61033066112
2019-08-05,1,10980,13997.61033066112
2019-08-06,1,11788,15027.671273026712
2019-08-07,-1,11466,14617.176689559235
2019-08-08,-1,11961,14617.176689559235
2019-08-09,-1,11996,14617.176689559235
2019-08-10,0,11857,14617.176689559235
2019-08-11,-1,11282,14617.176689559235
2019-08-12,-1,11567,14617.176689559235
2019-08-13,-1,11386,14617.176689559235
2019-08-14,-1,10858,14617.176689559235
2019-08-15,-1,10017,14617.176689559235
2019-08-16,1,10302,14617.176689559234
2019-08-17,-1,10359,14698.052157556212
2019-08-18,0,10215,14698.052157556212
2019-08-19,-1,10318,14698.052157556212
2019-08-20,-1,10917,14698.052157556212
