price,balance,btc,action,netBalance
11766,11766,0,Sell,11766
12933,11766,0,Sell,11766
11133,11766,0,Sell,11766
12374,11766,0,Sell,11766
11890,11766,0,Sell,11766
10738,11766,0,Sell,11766
10579,11766,0,Sell,11766
10805,11766,0,Sell,11766
11985,11766,0,Sell,11766
11160,11766,0,Sell,11766
10955,11766,0,Sell,11766
11232,11766,0,Sell,11766
11477,11766,0,Sell,11766
12313,11766,0,Sell,11766
12587,11766,0,Sell,11766
12100,11766,0,Sell,11766
11353,11766,0,Sell,11766
11804,11766,0,Sell,11766
11389,11766,0,Sell,11766
10187,11766,0,Sell,11766
10874,11766,0,Sell,11766
9398,11766,0,Sell,11766
9674,11766,0,Sell,11766
10639,11766,0,Sell,11766
10536,11766,0,Sell,11766
10765,11766,0,Sell,11766
10587,11766,0,Sell,11766
10324,11766,0,Sell,11766
9844,11766,0,Sell,11766
9772,11766,0,Sell,11766
9875,11766,0,Sell,11766
9849,11766,0,Sell,11766
9474,11766,0,Sell,11766
9530,11766,0,Sell,11766
9501,11766,0,Sell,11766
9589,11766,0,Sell,11766
10085,11766,0,None,11766
10407,11766,0,None,11766
10530,11766,0,Sell,11766
10815,11766,0,None,11766
10980,11766,0,Sell,11766
11788,11766,0,Sell,11766
11466,11766,0,Sell,11766
11961,11766,0,None,11766
11996,11766,0,Sell,11766
11857,11766,0,Sell,11766
11282,11766,0,Sell,11766
11567,11766,0,None,11766
11386,11766,0,None,11766
10858,11766,0,Sell,11766
10017,11766,0,Sell,11766
10302,11766,0,None,11766
10359,11766,0,None,11766
10215,11766,0,None,11766
10318,11766,0,Sell,11766
10917,11766,0,None,11766
10761,11766,0,Sell,11766
10129,11766,0,Sell,11766
10112,11766,0,Sell,11766
10406,11766,0,Sell,11766
10144,11766,0,Sell,11766
10135,11766,0,Sell,11766
10360,11766,0,None,11766
10172,11766,0,None,11766
9718,11766,0,None,11766
9485,11766,0,Sell,11766
9578,11766,0,None,11766
9601,11766,0,Sell,11766
9770,11766,0,Sell,11766
10387,11766,0,Sell,11766
10621,11766,0,None,11766
10584,11766,0,None,11766
10578,11766,0,None,11766
10317,11766,0,None,11766
10487,11766,0,None,11766
10406,11766,0,Sell,11766
10314,11766,0,None,11766
10101,11766,0,None,11766
10159,11766,0,Sell,11766
10420,11766,0,Sell,11766
10364,11766,0,None,11766
10361,11766,0,None,11766
10310,11766,0,None,11766
10266,11766,0,Sell,11766
10190,11766,0,None,11766
10158,11766,0,Sell,11766
10276,11766,0,Sell,11766
10173,11766,0,Sell,11766
9979,11766,0,None,11766
10033,11766,0,Sell,11766
9683,11766,0,None,11766
8554,11766,0,None,11766
8432,11766,0,None,11766
8056,11766,0,None,11766
8194,11766,0,Sell,11766
8225,11766,0,Sell,11766
8057,11766,0,None,11766
8308,11766,0,None,11766
8323,11766,0,Sell,11766
8382,11766,0,Sell,11766
8236,11766,0,None,11766
8155,11766,0,None,11766
8148,11766,0,None,11766
7870,11766,0,None,11766
8212,11766,0,Sell,11766
8190,11766,0,None,11766
8588,11766,0,Sell,11766
8587,11766,0,Sell,11766
8270,11766,0,None,11766
8308,11766,0,None,11766
8284,11766,0,None,11766
8354,11766,0,Sell,11766
8162,11766,0,None,11766
8003,11766,0,None,11766
8077,11766,0,Sell,11766
7954,11766,0,Sell,11766
7960,11766,0,Sell,11766
8231,11766,0,None,11766
8223,11766,0,Sell,11766
8027,11766,0,None,11766
7470,11766,0,None,11766
7432,11766,0,Sell,11766
8667,11766,0,None,11766
9260,11766,0,None,11766
9552,11766,0,None,11766
9219,11766,0,Sell,11766
9433,11766,0,None,11766
9165,11766,0,None,11766
9148,0,1.2861827721906427,Buy,11766.0
9253,11901.049191080017,0,Sell,11901.049191080017
9301,11901.049191080017,0,Sell,11901.049191080017
9206,0,1.2927492060699564,Buy,11901.049191080017
9418,0,1.2927492060699564,Buy,12175.112022766849
9310,12035.495108511293,0,Sell,12035.495108511293
9343,12035.495108511293,0,Sell,12035.495108511293
9204,0,1.3076374520329523,Buy,12035.495108511293
8766,11462.74990452086,0,Sell,11462.74990452086
8809,11462.74990452086,0,Sell,11462.74990452086
9037,11462.74990452086,0,Sell,11462.74990452086
8718,11462.74990452086,0,Sell,11462.74990452086
8802,11462.74990452086,0,Sell,11462.74990452086
8762,11462.74990452086,0,Sell,11462.74990452086
8632,0,1.3279367359268837,Buy,11462.74990452086
8458,11231.688912469583,0,Sell,11231.688912469583
8483,11231.688912469583,0,Sell,11231.688912469583
8504,11231.688912469583,0,Sell,11231.688912469583
