Timestamp,Price,TradeVolume,TransactionsVolume,HashRate,action
2019-06-26,11766,188227336,399624,57826748,0
2019-06-27,12933,521683548,361050,57195337,0
2019-06-28,11133,423175771,407094,57552683,0
2019-06-29,12374,251088678,356682,59739283,0
2019-06-30,11890,184877336,330731,62124771,0
2019-07-01,10738,172764922,336862,61165896,0
2019-07-02,10579,171482109,373409,59910359,0
2019-07-03,10805,240430091,397554,61131189,0
2019-07-04,11985,273546634,370704,62141159,0
2019-07-05,11160,130466909,378453,63617010,0
2019-07-06,10955,124193829,348674,65082061,0
2019-07-07,11232,85554898,313273,65307453,0
2019-07-08,11477,67612787,378966,65363802,0
2019-07-09,12313,277905477,365588,67335985,0
2019-07-10,12587,364111379,315664,67824438,0
2019-07-11,12100,507237488,325776,66436143,0
2019-07-12,11353,400745299,360899,65329589,0
2019-07-13,11804,223317774,304545,65236286,0
2019-07-14,11389,237143043,303287,64282328,0
2019-07-15,10187,163504273,349111,64994549,0
2019-07-16,10874,334140372,363337,64362436,0
2019-07-17,9398,413796084,324892,65398734,0
2019-07-18,9674,350207291,315745,65656209,0
2019-07-19,10639,400333481,299891,65141259,0
2019-07-20,10536,266367992,323002,62180292,-1
2019-07-21,10765,231375271,283934,64497570,0
2019-07-22,10587,149533508,319399,64755046,0
2019-07-23,10324,207597158,320352,65527472,0
2019-07-24,9844,198778567,295589,64272984,0
2019-07-25,9772,207985687,336536,64609474,0
2019-07-26,9875,132194259,319612,66422512,0
2019-07-27,9849,122793165,283892,69452834,0
2019-07-28,9474,196200933,272974,67789240,0
2019-07-29,9530,93425735,333619,69400228,0
2019-07-30,9501,110257994,328375,69983819,0
2019-07-31,9589,115667922,361337,69900134,0
2019-08-01,10085,171671949,335943,71948489,0
2019-08-02,10407,173753011,349556,71436400,0
2019-08-03,10530,194052552,327588,71628434,0
2019-08-04,10815,142750702,298805,72972667,0
2019-08-05,10980,165486450,339136,72460578,0
2019-08-06,11788,360876819,368348,71750337,0
2019-08-07,11466,385189642,370909,74077369,0
2019-08-08,11961,364388175,336181,73980794,0
2019-08-09,11996,211151931,341125,74960524,0
2019-08-10,11857,180122399,304138,74566507,0
2019-08-11,11282,185394290,273280,74200089,0
2019-08-12,11567,104661395,297446,74359558,0
2019-08-13,11386,84492312,370747,73747045,0
2019-08-14,10858,193935253,359997,73463403,0
2019-08-15,10017,280655886,355644,73392492,0
2019-08-16,10302,339458150,323625,74456151,0
2019-08-17,10359,242929697,288256,74456151,0
2019-08-18,10215,91003712,276365,72825207,0
2019-08-19,10318,77572050,330473,70938762,-1
2019-08-20,10917,171807868,333304,73295436,0
2019-08-21,10761,122315070,308808,73227078,-1
2019-08-22,10129,236246173,322453,72283872,0
2019-08-23,10112,141841654,340220,71347701,-1
2019-08-24,10406,122936633,304481,71988449,0
2019-08-25,10144,117754911,288934,74482723,0
2019-08-26,10135,102865893,318219,76729088,-1
