price,balance,btc,action,netBalance
11766,0,1,Buy,11766
12933,0,1,None,12933
11133,0,1,Buy,11133
12374,12374,0,Sell,12374
11890,12374,0,None,12374
10738,12374,0,Sell,12374
10579,12374,0,None,12374
10805,0,1.1452105506709858,Buy,12374.000000000002
11985,0,1.1452105506709858,Buy,13725.348449791765
11160,12780.5497454882,0,Sell,12780.5497454882
10955,0,1.1666407800536924,Buy,12780.5497454882
11232,0,1.1666407800536924,None,13103.709241563074
11477,13389.536232676228,0,Sell,13389.536232676228
12313,0,1.0874308643446948,Buy,13389.536232676228
12587,13687.492289506674,0,Sell,13687.492289506674
12100,13687.492289506674,0,None,13687.492289506674
11353,0,1.205627789087173,Buy,13687.492289506674
11804,0,1.205627789087173,Buy,14231.23042238499
11389,0,1.205627789087173,None,13730.894889913812
10187,0,1.205627789087173,Buy,12281.73028743103
10874,0,1.205627789087173,None,13109.99657853392
9398,0,1.205627789087173,Buy,11330.489961841251
9674,11663.24323162931,0,Sell,11663.24323162931
10639,11663.24323162931,0,None,11663.24323162931
10536,0,1.1069896765024023,Buy,11663.24323162931
10765,0,1.1069896765024023,Buy,11916.74386754836
10587,0,1.1069896765024023,Buy,11719.699705130934
10324,11428.5614202108,0,Sell,11428.5614202108
9844,0,1.1609672308219017,Buy,11428.5614202108
9772,0,1.1609672308219017,Buy,11344.971779591624
9875,0,1.1609672308219017,Buy,11464.551404366279
9849,0,1.1609672308219017,Buy,11434.36625636491
9474,0,1.1609672308219017,None,10999.003544806696
9530,0,1.1609672308219017,None,11064.017709732723
9501,11030.349660038888,0,Sell,11030.349660038888
9589,11030.349660038888,0,Sell,11030.349660038888
10085,0,1.0937381913771826,Buy,11030.349660038886
10407,0,1.0937381913771826,Buy,11382.53335766234
10530,0,1.0937381913771826,Buy,11517.063155201733
10815,0,1.0937381913771826,None,11828.77853974423
10980,0,1.0937381913771826,Buy,12009.245341321466
11788,12892.98579995423,0,Sell,12892.98579995423
11466,12892.98579995423,0,None,12892.98579995423
11961,0,1.0779187191668111,Buy,12892.985799954227
11996,0,1.0779187191668111,Buy,12930.712955125067
11857,0,1.0779187191668111,None,12780.88225316088
11282,12161.078989639964,0,Sell,12161.078989639964
11567,12161.078989639964,0,Sell,12161.078989639964
11386,0,1.0680729834568736,Buy,12161.078989639964
10858,11597.136454374733,0,Sell,11597.136454374733
10017,11597.136454374733,0,Sell,11597.136454374733
10302,11597.136454374733,0,None,11597.136454374733
10359,11597.136454374733,0,None,11597.136454374733
10215,11597.136454374733,0,None,11597.136454374733
10318,11597.136454374733,0,None,11597.136454374733
10917,11597.136454374733,0,Sell,11597.136454374733
10761,11597.136454374733,0,Sell,11597.136454374733
10129,11597.136454374733,0,None,11597.136454374733
10112,11597.136454374733,0,None,11597.136454374733
10406,11597.136454374733,0,None,11597.136454374733
10144,11597.136454374733,0,Sell,11597.136454374733
10135,11597.136454374733,0,None,11597.136454374733
10360,11597.136454374733,0,None,11597.136454374733
10172,11597.136454374733,0,Sell,11597.136454374733
9718,11597.136454374733,0,None,11597.136454374733
9485,11597.136454374733,0,Sell,11597.136454374733
9578,0,1.2108098198344888,Buy,11597.136454374733
9601,11624.985080230927,0,Sell,11624.985080230927
9770,11624.985080230927,0,None,11624.985080230927
10387,11624.985080230927,0,None,11624.985080230927
10621,11624.985080230927,0,Sell,11624.985080230927
10584,0,1.0983545994171322,Buy,11624.985080230927
10578,0,1.0983545994171322,None,11618.394952634424
10317,0,1.0983545994171322,Buy,11331.724402186554
10487,0,1.0983545994171322,None,11518.444684087466
10406,0,1.0983545994171322,None,11429.477961534678
10314,0,1.0983545994171322,Buy,11328.429338388301
10101,11094.479808712453,0,Sell,11094.479808712453
10159,0,1.0920838476929278,Buy,11094.479808712453
10420,0,1.0920838476929278,None,11379.513692960307
10364,11318.356997489504,0,Sell,11318.356997489504
10361,0,1.0924000576671657,Buy,11318.356997489504
10310,11262.64459454848,0,Sell,11262.64459454848
10266,0,1.0970820762272042,Buy,11262.64459454848
10190,11179.266356755212,0,Sell,11179.266356755212
10158,11179.266356755212,0,None,11179.266356755212
10276,11179.266356755212,0,Sell,11179.266356755212
10173,11179.266356755212,0,None,11179.266356755212
9979,11179.266356755212,0,None,11179.266356755212
10033,11179.266356755212,0,Sell,11179.266356755212
9683,11179.266356755212,0,Sell,11179.266356755212
8554,11179.266356755212,0,Sell,11179.266356755212
8432,11179.266356755212,0,None,11179.266356755212
8056,11179.266356755212,0,None,11179.266356755212
8194,11179.266356755212,0,Sell,11179.266356755212
8225,11179.266356755212,0,None,11179.266356755212
8057,0,1.3875221989270463,Buy,11179.266356755212
8308,11527.5344286859,0,Sell,11527.5344286859
8323,0,1.3850215581744443,Buy,11527.5344286859
8382,0,1.3850215581744443,None,11609.250700618191
8236,11407.037553124723,0,Sell,11407.037553124723
8155,0,1.3987783633506712,Buy,11407.037553124723
