Index,Date,Qual Liquidity, Quant Liquidity
1,2020-05-01,,
2,2020-05-01,,
3,2020-05-01,,
4,2020-05-01,,
5,2020-05-01,,
6,2020-05-01,,
7,2020-05-01,,
8,2020-05-01,,
9,2020-05-01,,
10,2020-05-01,,
11,2020-05-01,,
12,2020-05-01,,
13,2020-05-01,,
14,2020-05-01,,
15,2020-05-01,,
16,2020-05-01,,
17,2020-05-01,,
18,2020-05-01,,
19,2020-05-01,,
20,2020-05-01,,
21,2020-05-02,,
22,2020-05-02,,
23,2020-05-02,,
24,2020-05-02,,
25,2020-05-02,,
26,2020-05-02,,
27,2020-05-02,,
28,2020-05-02,,
29,2020-05-02,,
30,2020-05-02,,
31,2020-05-02,,
32,2020-05-02,,
33,2020-05-02,,
34,2020-05-02,,
35,2020-05-02,,
36,2020-05-02,,
37,2020-05-02,,
38,2020-05-02,,
39,2020-05-02,,
40,2020-05-02,,
41,2020-05-03,,
42,2020-05-03,,
43,2020-05-03,,
44,2020-05-03,,
45,2020-05-03,,
46,2020-05-03,,
47,2020-05-03,,
48,2020-05-03,,
49,2020-05-03,,
50,2020-05-03,,
51,2020-05-03,,
52,2020-05-03,,
53,2020-05-03,,
54,2020-05-03,,
55,2020-05-03,,
56,2020-05-03,,
57,2020-05-03,,
58,2020-05-03,,
59,2020-05-03,,
60,2020-05-03,,
61,2020-05-04,,
62,2020-05-04,,
63,2020-05-04,,
64,2020-05-04,,
65,2020-05-04,,
66,2020-05-04,,
67,2020-05-04,,
68,2020-05-04,,
69,2020-05-04,,
70,2020-05-04,,
71,2020-05-04,,
72,2020-05-04,,
73,2020-05-04,,
74,2020-05-04,,
75,2020-05-04,,
76,2020-05-04,,
77,2020-05-04,,
78,2020-05-04,,
79,2020-05-04,,
80,2020-05-04,,
81,2020-05-05,,
82,2020-05-05,,
83,2020-05-05,,
84,2020-05-05,,
85,2020-05-05,,
86,2020-05-05,,
87,2020-05-05,,
88,2020-05-05,,
89,2020-05-05,,
90,2020-05-05,,
91,2020-05-05,,
92,2020-05-05,,
93,2020-05-05,,
94,2020-05-05,,
95,2020-05-05,,
96,2020-05-05,,
97,2020-05-05,,
98,2020-05-05,,
99,2020-05-05,,
100,2020-05-05,,
101,2020-05-06,,
102,2020-05-06,,
103,2020-05-06,,
104,2020-05-06,,
105,2020-05-06,,
106,2020-05-06,,
107,2020-05-06,,
108,2020-05-06,,
109,2020-05-06,,
110,2020-05-06,,
111,2020-05-06,,
112,2020-05-06,,
113,2020-05-06,,
114,2020-05-06,,
115,2020-05-06,,
116,2020-05-06,,
117,2020-05-06,,
118,2020-05-06,,
119,2020-05-06,,
120,2020-05-06,,
121,2020-05-07,,
122,2020-05-07,,
123,2020-05-07,,
124,2020-05-07,,
125,2020-05-07,,
126,2020-05-07,,
127,2020-05-07,,
128,2020-05-07,,
129,2020-05-07,,
130,2020-05-07,,
131,2020-05-07,,
132,2020-05-07,,
133,2020-05-07,,
134,2020-05-07,,
135,2020-05-07,,
136,2020-05-07,,
137,2020-05-07,,
138,2020-05-07,,
139,2020-05-07,,
140,2020-05-07,,
141,2020-05-08,,
142,2020-05-08,,
143,2020-05-08,,
144,2020-05-08,,
145,2020-05-08,,
146,2020-05-08,,
147,2020-05-08,,
148,2020-05-08,,
149,2020-05-08,,
150,2020-05-08,,
151,2020-05-08,,
152,2020-05-08,,
153,2020-05-08,,
154,2020-05-08,,
155,2020-05-08,,
156,2020-05-08,,
157,2020-05-08,,
158,2020-05-08,,
159,2020-05-08,,
160,2020-05-08,,
161,2020-05-09,,
162,2020-05-09,,
163,2020-05-09,,
164,2020-05-09,,
165,2020-05-09,,
166,2020-05-09,,
167,2020-05-09,,
168,2020-05-09,,
169,2020-05-09,,
170,2020-05-09,,
171,2020-05-09,,
172,2020-05-09,,
173,2020-05-09,,
174,2020-05-09,,
175,2020-05-09,,
176,2020-05-09,,
177,2020-05-09,,
178,2020-05-09,,
179,2020-05-09,,
180,2020-05-09,,
181,2020-05-10,,
182,2020-05-10,,
183,2020-05-10,,
184,2020-05-10,,
185,2020-05-10,,
186,2020-05-10,,
187,2020-05-10,,
188,2020-05-10,,
189,2020-05-10,,
190,2020-05-10,,
191,2020-05-10,,
192,2020-05-10,,
193,2020-05-11,,
194,2020-05-10,,
195,2020-05-10,,
196,2020-05-10,,
197,2020-05-10,,
198,2020-05-10,,
199,2020-05-10,,
200,2020-05-10,,
201,2020-05-11,,
202,2020-05-11,,
203,2020-05-11,,
204,2020-05-11,,
205,2020-05-11,,
206,2020-05-11,,
207,2020-05-11,,
208,2020-05-11,,
209,2020-05-11,,
210,2020-05-11,,
211,2020-05-11,,
212,2020-05-11,,
213,2020-05-11,,
214,2020-05-11,,
215,2020-05-11,,
216,2020-05-11,,
217,2020-05-11,,
218,2020-05-11,,
219,2020-05-11,,
220,2020-05-11,,
221,2020-05-12,,
222,2020-05-12,,
223,2020-05-12,,
224,2020-05-12,,
225,2020-05-12,,
226,2020-05-12,,
227,2020-05-12,,
228,2020-05-12,,
229,2020-05-12,,
230,2020-05-12,,
231,2020-05-12,,
232,2020-05-12,,
233,2020-05-12,,
234,2020-05-12,,
235,2020-05-12,,
236,2020-05-12,,
237,2020-05-12,,
238,2020-05-12,,
239,2020-05-12,,
240,2020-05-12,,
241,2020-05-13,,
242,2020-05-13,,
243,2020-05-13,,
244,2020-05-13,,
245,2020-05-13,,
246,2020-05-13,,
247,2020-05-13,,
248,2020-05-13,,
249,2020-05-13,,
250,2020-05-13,,
251,2020-05-13,,
252,2020-05-13,,
253,2020-05-13,,
254,2020-05-13,,
255,2020-05-13,,
256,2020-05-13,,
257,2020-05-13,,
258,2020-05-13,,
259,2020-05-13,,
260,2020-05-13,,
261,2020-05-14,,
262,2020-05-14,,
263,2020-05-14,,
264,2020-05-14,,
265,2020-05-14,,
266,2020-05-14,,
267,2020-05-14,,
268,2020-05-14,,
269,2020-05-14,,
270,2020-05-14,,
271,2020-05-14,,
272,2020-05-14,,
273,2020-05-14,,
274,2020-05-14,,
275,2020-05-14,,
276,2020-05-14,,
277,2020-05-14,,
278,2020-05-14,,
279,2020-05-14,,
280,2020-05-14,,
281,2020-05-15,,
282,2020-05-15,,
283,2020-05-15,,
284,2020-05-15,,
285,2020-05-15,,
286,2020-05-15,,
287,2020-05-15,,
288,2020-05-15,,
289,2020-05-15,,
290,2020-05-15,,
291,2020-05-15,,
292,2020-05-15,,
293,2020-05-15,,
294,2020-05-15,,
295,2020-05-15,,
296,2020-05-15,,
297,2020-05-15,,
298,2020-05-15,,
299,2020-05-15,,
300,2020-05-15,,
301,2020-05-15,,
302,2020-05-15,,
303,2020-05-15,,
304,2020-05-15,,
305,2020-05-15,,
306,2020-05-15,,
307,2020-05-15,,
308,2020-05-15,,
309,2020-05-15,,
310,2020-05-15,,
311,2020-05-15,,
312,2020-05-15,,
313,2020-05-15,,
314,2020-05-15,,
315,2020-05-15,,
316,2020-05-15,,
317,2020-05-15,,
318,2020-05-15,,
319,2020-05-15,,
320,2020-05-15,,
321,2020-05-16,,
322,2020-05-16,,
323,2020-05-16,,
324,2020-05-16,,
325,2020-05-16,,
326,2020-05-16,,
327,2020-05-16,,
328,2020-05-16,,
329,2020-05-16,,
330,2020-05-16,,
331,2020-05-16,,
332,2020-05-16,,
333,2020-05-16,,
334,2020-05-16,,
335,2020-05-16,,
336,2020-05-16,,
337,2020-05-16,,
338,2020-05-16,,
339,2020-05-16,,
340,2020-05-16,,
341,2020-05-17,,
342,2020-05-17,,
343,2020-05-17,,
344,2020-05-17,,
345,2020-05-17,,
346,2020-05-17,,
