Date,Open,Volume,Market Cap
"Jun 20, 2022","$20,553.37","$30,818,458,597","$392,888,024,959"
"Jun 19, 2022","$19,010.90","$35,329,942,625","$391,988,917,194"
"Jun 18, 2022","$20,473.42","$42,009,436,760","$362,685,324,229"
"Jun 17, 2022","$20,385.72","$27,132,421,514","$390,391,528,176"
"Jun 16, 2022","$22,576.31","$31,183,975,654","$388,664,840,557"
"Jun 15, 2022","$22,196.73","$54,912,007,015","$430,432,160,006"
"Jun 14, 2022","$22,487.99","$50,913,575,242","$423,429,131,864"
"Jun 13, 2022","$26,737.58","$68,204,556,440","$428,759,852,105"
"Jun 12, 2022","$28,373.51","$34,163,220,274","$510,252,464,821"
"Jun 11, 2022","$29,084.67","$27,246,574,439","$540,698,499,860"
"Jun 10, 2022","$30,110.33","$29,867,476,527","$554,455,834,486"
"Jun 09, 2022","$30,215.28","$21,692,004,719","$574,029,141,739"
"Jun 08, 2022","$31,151.48","$30,242,059,107","$575,953,219,488"
"Jun 07, 2022","$31,371.74","$40,770,974,039","$593,857,882,017"
"Jun 06, 2022","$29,910.28","$31,947,336,829","$597,927,548,347"
"Jun 05, 2022","$29,835.12","$17,264,085,441","$569,996,838,237"
"Jun 04, 2022","$29,706.14","$16,588,370,958","$568,564,420,350"
"Jun 03, 2022","$30,467.81","$26,175,547,452","$566,088,081,691"
"Jun 02, 2022","$29,794.89","$29,083,562,061","$580,603,466,872"
"Jun 01, 2022","$31,792.55","$41,135,817,341","$567,842,680,886"
"May 31, 2022","$31,723.87","$33,538,210,634","$605,797,887,876"
"May 30, 2022","$29,443.37","$39,277,993,274","$604,513,442,526"
"May 29, 2022","$29,019.87","$18,093,886,409","$561,034,743,433"
"May 28, 2022","$28,842.10","$19,252,320,708","$552,958,193,308"
"May 27, 2022","$29,251.14","$36,582,005,748","$545,388,222,664"
"May 26, 2022","$29,564.78","$36,774,325,352","$557,547,946,793"
"May 25, 2022","$29,653.14","$27,525,063,551","$563,145,244,692"
"May 24, 2022","$29,101.13","$26,616,506,245","$564,895,173,841"
"May 23, 2022","$30,309.40","$31,483,454,557","$554,268,758,109"
"May 22, 2022","$29,432.47","$21,631,532,270","$577,568,895,836"
"May 21, 2022","$29,199.86","$17,274,840,442","$560,565,793,082"
"May 20, 2022","$30,311.12","$30,749,382,605","$556,131,920,269"
"May 19, 2022","$28,720.36","$33,773,447,707","$577,316,228,899"
"May 18, 2022","$30,424.48","$31,285,268,319","$546,936,441,380"
"May 17, 2022","$29,862.41","$29,101,473,475","$579,391,415,566"
"May 16, 2022","$31,304.37","$32,613,897,286","$568,643,328,349"
"May 15, 2022","$30,098.59","$25,835,372,065","$596,074,575,228"
"May 14, 2022","$29,285.64","$28,579,868,620","$573,129,618,195"
"May 13, 2022","$29,030.91","$42,841,124,537","$557,525,025,253"
"May 12, 2022","$28,936.73","$66,989,173,272","$553,017,241,735"
"May 11, 2022","$31,016.18","$70,388,855,818","$550,870,071,634"
"May 10, 2022","$30,273.65","$59,811,038,817","$590,565,398,299"
"May 09, 2022","$34,060.02","$63,355,494,961","$576,716,899,023"
"May 08, 2022","$35,502.94","$36,763,041,910","$648,302,121,215"
"May 07, 2022","$36,042.50","$24,375,896,406","$675,729,532,874"
"May 06, 2022","$36,573.18","$37,795,577,489","$685,953,792,236"
"May 05, 2022","$39,695.75","$43,106,256,317","$696,088,266,356"
"May 04, 2022","$37,748.01","$36,754,404,490","$755,491,473,700"
"May 03, 2022","$38,528.11","$27,326,943,244","$718,385,701,943"
"May 02, 2022","$38,472.19","$32,922,642,426","$733,170,725,791"
"May 01, 2022","$37,713.27","$27,002,760,110","$731,986,764,312"
"Apr 30, 2022","$38,605.86","$23,895,713,731","$717,596,901,509"
"Apr 29, 2022","$39,768.62","$30,882,994,649","$734,589,762,490"
"Apr 28, 2022","$39,241.43","$33,903,704,907","$756,698,317,682"
"Apr 27, 2022","$38,120.30","$30,981,015,184","$746,531,438,329"
"Apr 26, 2022","$40,448.42","$34,569,088,416","$725,113,482,674"
"Apr 25, 2022","$39,472.61","$35,445,730,570","$769,607,056,243"
"Apr 24, 2022","$39,478.37","$17,964,398,167","$750,755,023,764"
"Apr 23, 2022","$39,738.72","$16,138,021,249","$751,045,477,435"
"Apr 22, 2022","$40,525.86","$28,011,716,745","$755,827,581,233"
"Apr 21, 2022","$41,371.52","$35,372,786,395","$770,762,297,843"
"Apr 20, 2022","$41,501.74","$27,819,532,341","$786,828,424,699"
"Apr 19, 2022","$40,828.17","$25,303,206,547","$789,227,424,713"
"Apr 18, 2022","$39,721.20","$33,705,182,072","$776,330,593,866"
"Apr 17, 2022","$40,417.78","$19,087,633,042","$755,201,997,823"
"Apr 16, 2022","$40,552.32","$16,833,150,693","$768,615,440,640"
"Apr 15, 2022","$39,939.40","$21,756,855,753","$771,033,872,659"
"Apr 14, 2022","$41,160.22","$24,342,001,973","$759,245,303,311"
"Apr 13, 2022","$40,123.57","$27,691,105,228","$782,617,115,810"
"Apr 12, 2022","$39,533.71","$30,991,500,854","$762,819,737,794"
"Apr 11, 2022","$42,201.04","$33,949,912,166","$751,274,786,459"
"Apr 10, 2022","$42,781.09","$17,654,475,582","$802,293,412,897"
"Apr 09, 2022","$42,282.08","$16,050,772,496","$813,175,789,802"
"Apr 08, 2022","$43,505.14","$27,215,995,394","$803,736,501,494"
"Apr 07, 2022","$43,207.50","$26,101,973,106","$826,814,841,543"
"Apr 06, 2022","$45,544.36","$39,393,395,788","$821,131,605,927"
"Apr 05, 2022","$46,624.51","$29,640,604,055","$865,734,982,991"
"Apr 04, 2022","$46,445.27","$32,499,785,455","$885,964,854,050"
"Apr 03, 2022","$45,859.13","$25,414,397,610","$882,703,992,271"
"Apr 02, 2022","$46,285.50","$29,336,594,194","$871,556,728,553"
"Apr 01, 2022","$45,554.16","$38,162,644,287","$879,359,612,625"
"Mar 31, 2022","$47,062.15","$33,327,427,106","$865,202,119,216"
"Mar 30, 2022","$47,456.90","$29,333,883,962","$894,116,777,852"
"Mar 29, 2022","$47,100.44","$31,397,059,069","$901,733,146,417"
"Mar 28, 2022","$46,821.85","$36,362,175,703","$895,273,041,065"
"Mar 27, 2022","$44,505.36","$28,160,889,722","$889,385,706,663"
"Mar 26, 2022","$44,349.86","$16,950,455,995","$845,283,757,076"
"Mar 25, 2022","$43,964.55","$30,574,413,034","$842,351,457,245"
"Mar 24, 2022","$42,886.65","$31,042,992,291","$834,943,671,214"
"Mar 23, 2022","$42,364.38","$25,242,943,069","$814,620,088,889"
"Mar 22, 2022","$41,074.10","$32,004,652,376","$804,437,952,236"
"Mar 21, 2022","$41,246.13","$24,615,543,271","$780,074,755,650"
"Mar 20, 2022","$42,191.41","$20,127,946,682","$783,260,570,384"
"Mar 19, 2022","$41,794.65","$19,664,853,187","$801,124,017,583"
"Mar 18, 2022","$40,944.84","$34,421,564,942","$793,688,176,484"
"Mar 17, 2022","$41,140.84","$22,009,601,093","$777,515,183,730"
"Mar 16, 2022","$39,335.57","$39,616,916,192","$781,131,586,213"
"Mar 15, 2022","$39,664.25","$23,934,000,868","$746,821,744,421"
"Mar 14, 2022","$37,846.32","$24,322,159,070","$753,013,859,090"
"Mar 13, 2022","$38,884.72","$17,300,745,310","$718,481,905,386"
"Mar 12, 2022","$38,794.46","$14,616,450,657","$738,459,914,964"
"Mar 11, 2022","$39,439.97","$26,364,890,465","$736,353,069,777"
"Mar 10, 2022","$41,974.07","$31,078,064,711","$748,513,363,763"
"Mar 09, 2022","$38,742.82","$32,284,121,034","$796,787,661,849"
"Mar 08, 2022","$38,059.90","$25,776,583,476","$735,156,346,355"
