date,headline,source
2020-07-17T19:30:40Z,Twitter's Bitcoin hackers had almost limitless access,Engadget
2020-07-31T18:33:02Z,Tampa teenager arrested for Twitter Bitcoin hack,Engadget
2020-08-06T18:25:29Z,Casa pivots to provide self-custody services to secure bitcoin,TechCrunch
2020-11-12T14:00:00Z,An Engineer Gets 9 Years for Stealing $10M From Microsoft,Wired
2021-05-12T22:17:08Z,Tesla 'suspends' Bitcoin car purchases citing environmental impact,Engadget
2021-02-08T14:01:09Z,"Tesla buys $1.5 in Bitcoin, will soon accept it as payment",Engadget
2020-12-03T22:00:00Z,Is the New Visa Bitcoin Rewards Card Worth It?,Lifehacker.com
2022-02-09T16:00:00Z,Is the Crypto Bubble Going to Burst?,Lifehacker.com
2021-06-09T12:04:40Z,El Salvador becomes the first country to approve Bitcoin as legal currency,Engadget
2020-08-01T00:12:01Z,How the Alleged Twitter Hackers Got Caught,Wired
2021-03-31T14:00:00Z,What You Need to Know About Buying Cryptocurrency on PayPal,Lifehacker.com
2020-08-03T14:02:34Z,Twitter hacker was previously caught stealing a fortune in Bitcoin,Engadget
2020-07-16T21:08:19Z,The FBI is investigating the Twitter Bitcoin hack,Engadget
2020-07-16T20:24:47Z,Everything we know about the Twitter Bitcoin hack,Engadget
2020-07-18T04:14:10Z,Twitter confirms 'Bitcoin' hackers copied the data of several accounts,Engadget
2021-09-16T13:26:42Z,AMC theaters will accept cryptocurrencies beyond Bitcoin,Engadget
2021-03-24T08:29:16Z,Tesla now accepts Bitcoin in the US,Engadget
2021-02-09T23:10:46Z,Tesla’s $1.5 billion bitcoin purchase clashes with its environmental aspirations,The Verge
2021-05-07T18:17:36Z,What Square’s smashing earnings tell us about consumer bitcoin demand,TechCrunch
2020-07-28T01:28:34Z,"Bitcoin bulls are running, as prices spike above $11K",TechCrunch
