,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Harsh50772571,,,6,0,153,7,"@Stake Let's keep this going...

Admin says we can double that $100 and give $200 of #Bitcoin to a comment with 0 likes in the next 24 hours.

We'll even include everyone who already participated in the original Stake contest.

Good luck!",['Bitcoin']
1,TopMusicBlogger,,,29,106,1429,0,@WatcherGuru Not surprised. Ethiopia will be poor until they adopt bitcoin and usdt.,[]
2,JT12181,,,52,34,1859,3,#BITCOIN GETS ROCKED BY SEC NEWS + #CRYPTO BILL https://t.co/7S1n8RF36k,"['BITCOIN', 'CRYPTO']"
3,Juno_uhuy,You must be your own Motivation ... There are people who hate your advances ...👊,bogor Indonesia ,1940,113,4166,7,"@Stake Let's keep this going...

Admin says we can double that $100 and give $200 of #Bitcoin to a comment with 0 likes in the next 24 hours.

We'll even include everyone who already participated in the original Stake contest.

Good luck!",['Bitcoin']
4,NFTbull_offical,Slightly obsessed with blockchain,,209,48,617,1163,#Bitcoin is a certain thing in an uncertain world.,['Bitcoin']
5,silentgeforce65,"about fiat inflation, bitcoin
#bitcoin
#DCA
#StackSats
#Hodl",,331,154,454,230,"We’re going to see a race to accumulate #Bitcoin on the nation state level, says Samson Mow @Excellion",['Bitcoin']
6,sathishkumary94,#Bitcoin Believer/#Crypto Analyser🧐🧐/#Blockchain learner/Indian🇮🇳.,India,240,324,9844,493,"JUST IN: The FED is now pricing goods in #BTC 

#Bitcoin is a unit of account 🚀 https://t.co/Mz8wuvRXh3","['BTC', 'Bitcoin']"
7,wi_s_bitcoin,"I'm just an apple who loves art, math, programming & 🍊💊 #Bitcoin # will go to as fiat goes to O Hyperbitcoinization will be hyperbolic #Stock2FOMO #GetOnZero",,0,0,95,2,"You have 5-10 years to stack as many sats as you can before the robots take all of our jobs.
https://t.co/9kw6k2omf0",[]
8,ArtteckR,"𖣔 ꋬꋪ꓄꓄ꏂꉔꀘ 𖣔 

#Btc  #Bnb  #Trx  #solana

🇧🇷",,129,7,183,63,Everything Divided BY ∞/21 Million #Bitcoin https://t.co/dIIACFE8Wk,['Bitcoin']
9,dheojhane09,"ALWAYS BE POSITIVE!!!!😃😃😃😇
#TigerArmy

7zJk7y9cjfHGUyfSmh4saHUUC9q3fLJ2vBLfT36p1XuS",Republic of the Philippines,2476,262,7460,2230,"Remember, if #Bitcoin doesn’t reach $40,000 in 24 HOURS (June 7th), we’re giving away $1,000 to one lucky follower! 💰

LIKE ❤️ &amp; FOLLOW ✅ TO ENTER!!

(Giveaway basically GUARANTEED!)",['Bitcoin']
10,wi_s_bitcoin,"I'm just an apple who loves art, math, programming & 🍊💊 #Bitcoin # will go to as fiat goes to O Hyperbitcoinization will be hyperbolic #Stock2FOMO #GetOnZero",,0,0,95,9,"Unlike our current monetary system, #Bitcoin is an open and transparent system whose true inflation rate (1.79%) is known by all. Anyone anywhere in the world with a $100 node and an internet connection can audit the system and confirm this number for themselves.",['Bitcoin']
11,88plus2,"She who has everything, but owns nothing ...",Aircoins Metaverse,23,145,3727,13,"Look at all those people leaving coins behind! Don't be like them, download the AIRCOINS App in the app store and start your hunt in the #metaverse today!
.
.
.
#AIRCOINS  #AugmentedReality  #Crypto #Bitcoin #MobileGaming  #android #ios #googleplay #BSC #NFT #P2E #movetoearn https://t.co/zG2PbaW496",[]
12,JustinD30267153,Outgoing🔥🔥🔥,,95,17,10,0,The fastest thing alive. ⚡️💯💨https://t.co/0R1gEM1aGv#nft #cryptocurrency #web3 #bitcoin #art #gamedev,"['cryptocurrency', 'web3', 'bitcoin', 'art', 'gamedev']"
13,xangle_intern,Data Junkie | Intern at @Xangle_Official,"Seoul, South Korea",281,44,77,0,"- Bitcoin miners are capitulating?

https://t.co/0O7nZTiciE",[]
14,VickWowo,xPunk¹⁶¹¹¹ + 0xApe¹⁴⁶²⁷ | Sports & web3 Strategy Advisor @microsoft | @expansionpunks DAO MSW | RugDAO Council | @beckywowo 3:33💍 **NFA & views are my own**,The Punkverse,2168,4711,19830,7,"2/3 In the interpretation of VR pioneer Jaron Lanier and economist  @glenweyl, the paper shows decentralization is more an ideology than a property of the Bitcoin technology….

https://t.co/BOJid3N54e",[]
15,sathishkumary94,#Bitcoin Believer/#Crypto Analyser🧐🧐/#Blockchain learner/Indian🇮🇳.,India,240,324,9844,27,The Wild West-focused battle royale #blockchain game Grit will soon be available via the Epic Games Store and accessible to 194 million users. https://t.co/ROjBuT4nc1,['blockchain']
16,xangle_intern,Data Junkie | Intern at @Xangle_Official,"Seoul, South Korea",281,44,77,0,"24 hours in Crypto🧵

- Senator @CynthiaMLummis will be introducing the highly anticipated ""Bitcoin Bill"" tomorrow

- Redacted Cartel launches Pirex, a $CVX incentive platform on Ethereum mainnet, bringing liquid wrapping and auto-compounding to vote-locked CVX holders.",[]
17,AsaadElfeky,My eyes - blue.),"Scotland, United Kingdom",678,79,1633,255,"#Bitcoin'Fear and Greed' Index remains at 10, extreme fear. https://t.co/uJkFmSK2NG",['Bitcoin']
18,R65831652,"Crypto Investor, Artist, NFT enthusiast",NFT,2683,566,934,0,"Layoffs Spread Across Blockchain Industry as Bear Market Cycle Impacts Crypto Firms – Bitcoin News https://t.co/YZ1AufH309 
#NFTdrop #NFTdrops #NFTGiveaway #NFTGiveaway #NFTProject #NFTGiveaways #NFTs #NFTCollection #NFTFreeMint #nftfree","['NFTdrop', 'NFTdrops', 'NFTGiveaway', 'NFTGiveaway', 'NFTProject', 'NFTGiveaways', 'NFTs', 'NFTCollection', 'NFTFreeMint', 'nftfree']"
19,flurb789,"Nothing here is financial advice. Stack sats before it's too late. 

If you feel so led: 
bc1qvz4td704m0x2l2vwvhv8nuxtjtdhne9dgzj304",the blockchain,24,8,4,0,@BitcoinMagazine this will be a game changer for mass #Bitcoin adoption.,['Bitcoin']
20,sathishkumary94,#Bitcoin Believer/#Crypto Analyser🧐🧐/#Blockchain learner/Indian🇮🇳.,India,240,324,9844,10,"Don't be this guy...

#Bitcoin https://t.co/OgLTjg3E2Q",['Bitcoin']
21,wi_s_bitcoin,"I'm just an apple who loves art, math, programming & 🍊💊 #Bitcoin # will go to as fiat goes to O Hyperbitcoinization will be hyperbolic #Stock2FOMO #GetOnZero",,0,0,95,4,GM. Fuck shitcoins. 🖕 https://t.co/LTgBFGQDVJ,[]
22,HeadlinesOT,"The Headlines of Today is a World News Website, Provide World News, International Breaking News, Tech , spots and entertainment News",Mumbai,1550,331,41419,0,3iQ launches 3iQ CoinShares Bitcoin Feeder ETF and 3iQ CoinShares Ether Feeder ETF with lowest fee structure on market https://t.co/IeRjZGpnyF,[]
23,nuworldcrypto,"24/7 Crypto News │ BTC, ALTS, NFTs │ Crypto Education │ Content Creator │ Crypto Analyst│ NuWorld Crypto TV","North Carolina, USA",4973,3202,12221,0,"When Bitcoin has its first green weekly close in a couple of months, and people talk about going long on BTC...  
#bulltrap #cryptotrading #crypto #Bitcoin #BTC $BTC https://t.co/ezzywPLMmE","['bulltrap', 'cryptotrading', 'crypto', 'Bitcoin', 'BTC']"
24,PennBrewery,"""Brewing Craft Before Craft Was Cool""","Pittsburgh, Pennsylvania",513,10552,5297,9,"5 short summer weeks away! Hope to see yinz at @PennBrewery on July 16!! Come visit with @JasonMack99 @BobbyDarby3 @PeggyC616 @Bitcoin_Country @chaintuts @IHeartCrypto @michaelt0x and many more! R.S.V.P. to save your spot! Join me at Beer, Brats, &amp; Bitcoin https://t.co/JGXvMSYis3 https://t.co/wsKLQzeGaz",[]
25,pitopitomm,GOLD(#XAUUSD)BTC(#BTC)メインの兼業トレーダー｜経営者｜ひとりごと+ BOTツイート｜mql･pineインジ開発｜インジケータートレーダー(無裁量シグナル乱れ打ち🔫＆MT4テンプレシステム狙い斬り⚔️の二刀流)｜ 酒(禁酒中)🍻フォートナイト🎮R&B🎵｜ 自分用の配信Discord開放中⬇️,JAPAN,1435,3684,11336,0,"BOT by UpTrend GOLD M15 at 1840.55
June 07, 2022 at 10:45AM

#GOLD #BTCUSD #ゴールド #ビットコイン #XAUUSD #Bitcoin","['GOLD', 'BTCUSD', 'ゴールド', 'ビットコイン', 'XAUUSD', 'Bitcoin']"
26,SwatiDR3,फॉलो बैक लेकर अनफॉलो करने की गलती ना करें क्योंकि जो अनफॉलो करते हैं उसे हम 8 घंटे के अंदर अंदर अनफॉलो कर देते हैं  सत साहेब,"गंगानगर, भारत",5296,15065,220485,1,I Bought Bitcoin in 2010  BTC 55000 @Bitcoin @BitcoinMagazine @binance  @cz_binance  @elonmusk @VitalikButerin @Shibtoken @dogecoin @CryptooAdy @cryptoamanclub https://t.co/IH87LJSLAZ,[]
27,Wiley1695,"No fear of words ,no fear of years",,2,1,38,0,"Bitcoin’s price surged by a total of about 18% in the past four days, leaving upwards of $229 million worth of short positions liquidated.",[]
28,CryptolabMobile,"We analyze ICOs, cryptocurrencies and news, making cryptosphere available for everyone.",,15,4721,240994,0,Even Giants Started Out Small: Cooperation and the Early Days of Bitcoin https://t.co/fnyPP0WTia,[]
29,NovianaPadmasa1,melangkah maju,,4,2,5,181,"If #bitcoin only gets to 1% of global wealth, that’s a 10x from here.

If it gets to ~3%, that’s $1 million per coin.

If it gets to 10%, the numbers won’t matter because no one will even remember what the US dollar is.",['bitcoin']
30,KingdomZild,"Fix the money
Fix the world",,351,56,2984,0,"@TJtradesTA @abebut @Tyler_Burd3n @RealWillyBot @BitcoinMagazine @Hut8Mining Compare bitcoin to the entire monetary network because Bitcoin starts from there, including mining for gold, minting for coins/notes, storage, central banks, banks, auditors etc.",[]
31,sajuali0459,Ilove  allah. I love my work & i love my life,,126,4,558,0,"@SonOfHusky This project looks amazing. I am interested, and I will support this project until it is successful 

@Nohu92720793

@Shahajan123

@Shurov747

#cryptocurrency #Airdrop #BSC #Bitcoin #USDT #SonOfHusky #SOH #Airdropstario","['cryptocurrency', 'Airdrop', 'BSC', 'Bitcoin', 'USDT', 'SonOfHusky', 'SOH', 'Airdropstario']"
32,CryptoSignal_LS,"Log in to Telegram.
It gives you a high-quality signal.
LV2 telegram channel is not bot.
3traders analyzing charts (NOT bot)",,17,70,1139,0,"📉SHORT📉
$AAVE
🔥#AAVE
💰Entry Price = 98.1
📌Stop loss: go to the telegram channel
#AAVEUSDTPERP #crypto #signal #bitcoin","['AAVE', 'AAVEUSDTPERP', 'crypto', 'signal', 'bitcoin']"
33,ApeStackin,"I am CyberKong #981 #407, Gutter Cat Gang #1466, MoonCat #24072",Falador W2,2649,5708,30342,150,"Since the birth of #Bitcoin, this GOLDEN OPPORTUNITY only comes around every 2 years or so.

Let's celebrate. 
This is no time to complain. 

#BTC #Crypto https://t.co/DQBjYvurRu",['Bitcoin']
34,MilesTaylor47,,,423,2047,39927,0,@2BlockChainz3 @CryptoKng81 Institutions never bought the fuck out of bitcoin in a run before,[]
35,jobellomorales,"Diseño Gráfico/Branding/Logos
Creador de la colección NFT ""The Hummingbirds Around the World"" en @opensea",Venezuela,290,348,67858,58,"#Bitcoin level of engagement:

🔴 Level 1: BTC on exchange
🟠 Level 2: BTC on hot wallet
🟢 Level 3: BTC on cold wallet
🔵 Level 4: BTC node running 
⚫️ Level 5: BTC mining 

Where are you at the moment? What’s your highest goal?",['Bitcoin']
36,bobbyMAXWELLrod,26 | Professional Trader | #Bitcoin | SamoDao Founder | SMB | Okay Bears | https://t.co/CG9Tu1vvm0,200w MA,176,829,1171,0,"Dumping as anticipated. 

Its all probabilities and statistics. Think of the price action like a bouncy ball. The bounces get smaller after each one. Don't fight the momentum, trade with the current until it stops.

$BTC #BTC #Bitcoin https://t.co/XFB4EQeinc https://t.co/2PPYEYUSBV","['BTC', 'Bitcoin']"
37,DogecoinPostive,Why Dogecoin WOW? SETI WOW Signal. I give good thoughts to Dogecoin community.,"New York, NY",121,348,9395,0,Nuked. #Bitcoin #dogecoin @elonmusk,"['Bitcoin', 'dogecoin']"
