,Date,Price,Open,High,Low,Vol.,Change %
0,1654560000.0,"29,502.3","31,370.3","31,370.3","29,235.0",115.08K,-5.95%
1,1654473600.0,"31,367.6","29,911.2","31,753.4","29,888.6",94.01K,4.86%
2,1654387200.0,"29,913.0","29,865.1","30,166.9","29,539.0",30.33K,0.16%
3,1654300800.0,"29,864.3","29,700.9","29,963.8","29,489.5",33.51K,0.55%
4,1654214400.0,"29,700.9","30,455.7","30,674.8","29,330.8",72.13K,-2.48%
5,1654128000.0,"30,455.5","29,798.6","30,638.5","29,604.4",81.40K,2.20%
6,1654041600.0,"29,798.5","31,793.1","31,969.9","29,396.6",135.09K,-6.27%
7,1653955200.0,"31,793.4","31,730.2","32,377.5","31,221.2",86.60K,0.22%
8,1653868800.0,"31,723.3","29,465.2","32,185.6","29,307.2",129.56K,7.66%
9,1653782400.0,"29,465.2","29,027.1","29,556.5","28,838.7",36.87K,1.51%
10,1653696000.0,"29,027.1","28,620.1","29,194.4","28,537.2",43.87K,1.49%
11,1653609600.0,"28,601.2","29,194.0","29,377.1","28,282.2",116.41K,-2.06%
12,1653523200.0,"29,203.5","29,537.9","29,868.9","28,077.9",126.71K,-1.14%
13,1653436800.0,"29,540.6","29,648.7","30,202.3","29,353.5",78.85K,-0.36%
14,1653350400.0,"29,648.7","29,091.6","29,810.8","28,706.1",79.42K,1.91%
15,1653264000.0,"29,093.3","30,287.3","30,644.8","28,913.6",92.10K,-3.94%
16,1653177600.0,"30,286.6","29,433.0","30,462.0","29,260.1",50.60K,2.89%
17,1653091200.0,"29,434.6","29,188.7","29,623.2","28,953.9",32.27K,0.88%
18,1653004800.0,"29,178.6","30,305.9","30,735.1","28,738.5",98.78K,-3.72%
19,1652918400.0,"30,305.9","28,700.4","30,525.1","28,682.1",101.38K,5.66%
20,1652832000.0,"28,683.7","30,437.5","30,687.9","28,648.1",92.03K,-5.76%
21,1652745600.0,"30,437.5","29,856.7","30,720.1","29,484.5",79.63K,1.97%
22,1652659200.0,"29,849.0","31,308.3","31,312.4","29,135.8",100.25K,-4.66%
23,1652572800.0,"31,308.7","30,078.6","31,383.8","29,499.4",65.44K,4.08%
24,1652486400.0,"30,080.4","29,285.2","30,277.4","28,666.7",70.46K,2.72%
25,1652400000.0,"29,284.4","28,994.3","31,002.7","28,755.0",141.23K,1.06%
26,1652313600.0,"28,976.0","29,073.4","30,136.7","26,500.5",309.48K,-0.32%
27,1652227200.0,"29,068.2","31,008.0","32,113.6","27,835.5",296.90K,-6.25%
28,1652140800.0,"31,007.5","30,098.2","32,621.2","29,831.0",235.61K,3.03%
29,1652054400.0,"30,095.0","34,041.0","34,227.0","30,095.0",268.09K,-11.64%
30,1651968000.0,"34,060.0","35,468.0","35,497.0","33,727.0",671.05M,-3.97%
31,1651881600.0,"35,468.0","36,003.0","36,119.0","34,773.0",288.86M,-1.50%
32,1651795200.0,"36,009.0","36,540.0","36,646.0","35,267.0",752.84M,-1.46%
33,1651708800.0,"36,544.0","39,686.0","39,833.0","36,183.0",1.04B,-7.92%
34,1651622400.0,"39,688.0","37,717.0","40,021.0","37,660.0",691.49M,5.22%
35,1651536000.0,"37,718.0","38,515.0","38,647.0","37,513.0",367.21M,-2.07%
36,1651449600.0,"38,514.0","38,472.0","39,134.0","38,061.0",580.79M,0.14%
37,1651363200.0,"38,461.0","37,642.0","38,676.0","37,397.0",276.99M,2.15%
38,1651276800.0,"37,650.0","38,590.0","38,776.0","37,596.0",248.22M,-2.41%
39,1651190400.0,"38,581.0","39,748.0","39,919.0","38,175.0",382.90M,-2.94%
40,1651104000.0,"39,748.0","39,243.0","40,382.0","38,888.0",542.39M,1.29%
41,1651017600.0,"39,243.0","38,113.0","39,447.0","37,869.0",426.83M,2.96%
42,1650931200.0,"38,113.0","40,443.0","40,770.0","37,708.0",681.47M,-5.72%
43,1650844800.0,"40,427.0","39,464.0","40,599.0","38,233.0",654.60M,2.44%
44,1650758400.0,"39,464.0","39,434.0","39,929.0","39,033.0",283.63M,0.12%
45,1650672000.0,"39,418.0","39,709.0","39,973.0","39,291.0",190.60M,-0.73%
46,1650585600.0,"39,709.0","40,487.0","40,792.0","39,200.0",421.30M,-1.91%
47,1650499200.0,"40,482.0","41,370.0","42,969.0","39,793.0",493.05M,-2.14%
48,1650412800.0,"41,368.0","41,499.0","42,203.0","40,915.0",382.84M,-0.33%
49,1650326400.0,"41,503.0","40,809.0","41,746.0","40,585.0",268.28M,1.72%
50,1650240000.0,"40,803.0","39,700.0","41,095.0","38,577.0",484.26M,2.77%
51,1650153600.0,"39,703.0","40,382.0","40,599.0","39,561.0",210.01M,-1.68%
52,1650067200.0,"40,382.0","40,571.0","40,691.0","40,003.0",151.31M,-0.44%
53,1649980800.0,"40,560.0","39,936.0","40,850.0","39,781.0",233.09M,1.56%
54,1649894400.0,"39,936.0","41,133.0","41,494.0","39,585.0",294.29M,-2.91%
55,1649808000.0,"41,133.0","40,072.0","41,515.0","39,581.0",406.70M,2.63%
56,1649721600.0,"40,078.0","39,507.0","40,678.0","39,265.0",468.27M,1.47%
57,1649635200.0,"39,497.0","42,144.0","42,418.0","39,202.0",608.38M,-6.27%
58,1649548800.0,"42,138.0","42,760.0","43,421.0","41,884.0",255.83M,-1.47%
59,1649462400.0,"42,767.0","42,275.0","42,809.0","42,129.0",165.16M,1.16%
60,1649376000.0,"42,275.0","43,450.0","43,979.0","42,113.0",467.83M,-2.70%
61,1649289600.0,"43,448.0","43,166.0","43,893.0","42,747.0",390.85M,0.64%
62,1649203200.0,"43,173.0","45,494.0","45,519.0","43,122.0",649.52M,-5.13%
63,1649116800.0,"45,506.0","46,614.0","47,201.0","45,388.0",421.11M,-2.41%
64,1649030400.0,"46,629.0","46,407.0","46,899.0","45,152.0",446.12M,0.48%
65,1648944000.0,"46,407.0","45,813.0","47,435.0","45,554.0",398.86M,1.30%
66,1648857600.0,"45,811.0","46,299.0","47,212.0","45,641.0",345.93M,-1.05%
67,1648771200.0,"46,297.0","45,529.0","46,728.0","44,261.0",632.93M,1.70%
68,1648684800.0,"45,525.0","47,071.0","47,624.0","45,228.0",520.00M,-3.29%
69,1648598400.0,"47,075.0","47,449.0","47,714.0","46,601.0",467.76M,-0.79%
70,1648512000.0,"47,449.0","47,126.0","48,127.0","47,029.0",478.82M,0.73%
71,1648425600.0,"47,105.0","46,859.0","48,199.0","46,672.0",610.27M,0.52%
72,1648339200.0,"46,859.0","44,542.0","46,947.0","44,445.0",388.79M,5.19%
73,1648252800.0,"44,548.0","44,331.0","44,818.0","44,090.0",196.30M,0.49%
74,1648166400.0,"44,331.0","44,013.0","45,112.0","43,622.0",494.09M,0.72%
75,1648080000.0,"44,013.0","42,911.0","44,251.0","42,658.0",491.66M,2.57%
76,1647993600.0,"42,912.0","42,373.0","43,027.0","41,795.0",433.96M,1.27%
77,1647907200.0,"42,373.0","41,022.0","43,327.9","40,893.0",537.06M,3.29%
78,1647820800.0,"41,022.0","41,282.0","41,532.0","40,530.0",406.62M,-0.62%
79,1647734400.0,"41,276.0","42,241.0","42,301.0","40,922.0",308.45M,-2.27%
80,1647648000.0,"42,233.0","41,768.0","42,386.0","41,529.6",224.59M,1.11%
81,1647561600.0,"41,767.8","40,914.6","42,308.4","40,234.8",2.31B,2.08%
82,1647475200.0,"40,914.8","41,118.7","41,406.0","40,557.8",1.90B,-0.50%
83,1647388800.0,"41,118.7","39,282.5","41,701.6","38,953.2",4.47B,4.67%
84,1647302400.0,"39,285.7","39,673.0","39,854.7","38,220.9",2.25B,-0.97%
