,date,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,2022-06-07 01:56:14,cryptoscamisrl,🐄,,150,22,1306,0,@Cameronfous What do You mean btc will hit 90k next week and 360k by the end of summer,[]
1,2022-06-07 01:56:13,GuntherPieters_,"Team lead @validitytech 
#bitcoin #validitytech #NFT",,98,169,1492,0,"Here comes the #BTC dump. 
Bears still in control. https://t.co/cXinbKkymH",['BTC']
2,2022-06-07 01:56:12,RealCryptoBeast,"Official CryptoB€a$t™
| Trader & Investor | Entrepreneur | TA | #Bitcoin
(Trade Setups and Edu Dose Daily) | Telegram Premium https://t.co/mFrZaziPFF 💥",,4,93,262,0,"Alright, New Theories on #BTC bottom soon. @elonmusk Make everyone think of $8k n we never visit there. 🧠 https://t.co/NhncQFRdAm",['BTC']
3,2022-06-07 01:56:10,realyordanis,Hello World!,A Colony On Mars,62,23,791,0,"#BTC - Just a healthy retracement...

#Bitcoin #Dogecoin","['BTC', 'Bitcoin', 'Dogecoin']"
4,2022-06-07 01:56:09,Nondumisondonga,♥♥♥ths is me...thnx 2 my parents 4 creating ths bbgal..&im proud 2 be me,Durban,90,72,948,0,"@TheMoonCarl $BTC, $ETH, $DOGE on my finex. I don't need anything else from this list.",[]
5,2022-06-07 01:56:09,mikeparker3663,Account Manager! Invest with bitsecuredminingfx Company On Bitcoin(crypto)🏠Realtor 💰🧳Investor/Trader💯/Entrepreneur 📊📉📈/Binance Lioness💰💵/Fxtrade/,United state Az,389,18,31,0,"Send a message let’s get started with crypto
-
-

#bitcoin #cryptocurrency #blockchain #crypto #ethereum #money #trading #litecoin #forex #investing #australia #btc #bitcoinmining #business #bitcoincash #entrepreneur #millionaire #invest #cryptotrading #cryptonews #altcoin #eth # https://t.co/XpnQ0zPpy6","['bitcoin', 'cryptocurrency', 'blockchain', 'crypto', 'ethereum', 'money', 'trading', 'litecoin', 'forex', 'investing', 'australia', 'btc', 'bitcoinmining', 'business', 'bitcoincash', 'entrepreneur', 'millionaire', 'invest', 'cryptotrading', 'cryptonews', 'altcoin', 'eth']"
6,2022-06-07 01:56:09,benzingacrypto,"Crypto news, insights, and education by @benzinga Check our crypto coverage & resources: https://t.co/nnJFp776Vv","Detroit, MI",67,8712,2076,0,"#Bitcoin Above $30K, Ethereum, Dogecoin See Some Relief — No Pain And All Gain For Crypto From Here? $BTC $DOGE $ETH https://t.co/ALV4cswCTk",['Bitcoin']
7,2022-06-07 01:56:07,SparkLabsGlobal,Global Early-Stage Fund.  Entrepreneurs Growing Entrepreneurs. Part of the @SparkLabsGroup (https://t.co/FwcryavZy2),Everywhere Besides Mars,9067,11216,3697,0,"BlockFi is raising a down round at $1 billion valuation: sources https://t.co/JK1SXKJJNa 

#crypto #btc #fintech #bitcoin #finance #markets #startups #VentureCapital #startup","['crypto', 'btc', 'fintech', 'bitcoin', 'finance', 'markets', 'startups', 'VentureCapital', 'startup']"
8,2022-06-07 01:56:06,Sagacious_39,"🔱 GGMU 🔱 forever 🔴
Aspiring CA. Music, Food, Politics, Books & Sports - anytime anywhere.",,1572,189,19416,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
9,2022-06-07 01:56:06,RowieCrypto,,,55,3,66,8,"Let's get $BTC moving, shall we https://t.co/LA3bp9mMdo",[]
